x, dx, y1, y2, y3, y4
0, 0.01, 1, 0, -9.8696, 0
0.280441, 0.0384848, 0.636356, -2.42341, -6.28058, 23.9181
0.596874, 0.03038, -0.299661, -2.99722, 2.95754, 29.5814
0.949563, 0.031938, -0.987472, -0.495717, 9.74596, 4.89253
1.25105, 0.0373693, -0.70476, 2.22879, 6.9557, -21.9973
1.57289, 0.0286974, 0.226994, 3.05958, -2.24034, -30.1969
1.92108, 0.0336788, 0.969421, 0.770956, -9.5678, -7.60903
2.22039, 0.0361925, 0.769731, -2.00549, -7.59694, 19.7934
2.55288, 0.0269215, -0.16537, -3.09834, 1.63214, 30.5794
2.89424, 0.0351537, -0.945312, -1.02468, 9.32986, 10.1132
3.19264, 0.0350868, -0.82239, 1.78733, 8.11667, -17.6402
3.53378, 0.0246259, 0.105928, 3.12392, -1.04547, -30.8318
3.86522, 0.0366508, 0.911686, 1.29084, -8.99798, -12.7401
4.16407, 0.0338725, 0.870078, -1.54853, -8.58733, 15.2834
4.51168, 0.0255027, -0.0366989, -3.13948, 0.362204, 30.9854
4.83258, 0.0382129, -0.864837, -1.57725, 8.5356, 15.5668
5.13937, 0.0327244, -0.905662, 1.33204, 8.93853, -13.1467
5.49293, 0.0285228, -0.0222099, 3.14082, 0.219203, -30.9986
5.80135, 0.0392875, 0.811502, 1.83579, -8.00921, -18.1185
6.11493, 0.0314499, 0.935527, -1.10978, -9.23328, 10.9531
6.46876, 0.0305882, 0.097997, -3.12647, -0.967192, 30.857
6.76945, 0.0380671, -0.748973, -2.08162, 7.39207, 20.5448
7.08977, 0.0299183, -0.960495, 0.874294, 9.47971, -8.62894
7.44123, 0.0324732, -0.183588, 3.08819, 1.81193, -30.4793
7.7413, 0.0369977, 0.687506, 2.28135, -6.78544, -22.5161
8.06732, 0.0282459, 0.977717, -0.659465, -9.64975, 6.50843
8.41395, 0.0340821, 0.267047, -3.02753, -2.63587, 29.8798
8.71343, 0.0359201, -0.621424, -2.46152, 6.13265, 24.2924
9.04563, 0.0261404, -0.989825, 0.448539, 9.76757, -4.43197
9.38402, 0.0356878, -0.3566, 2.9346, 3.51484, -28.978
9.68424, 0.034736, 0.54643, 2.62795, -5.40503, -25.9744
10, 0.0270167, 0.998364, -0.00514023, -9.88575, -0.0507319
